epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.43124,2.07952,3.45065,2.6216,0.00267,0.8,0.00361,0.00079,3.01946,6.58497,3.4775,0.000444444,0.000444444,0.000444444
2,4.14475,1.61207,3.17086,2.26216,0.002,0.6,0.00191,0.00042,3.30863,6.53708,3.56566,0.00110378,0.00110378,0.00110378
3,4.85697,1.55503,3.02492,2.17474,0.002,0.6,0.00191,0.00042,3.30863,6.53708,3.56566,0.00175431,0.00175431,0.00175431
4,5.54464,1.6341,3.1941,2.13114,0.002,0.6,0.00184,0.00022,3.51431,6.32963,3.61502,0.0019604,0.0019604,0.0019604
5,6.24577,1.75157,3.20837,2.31871,0.002,0.6,0.00184,0.00022,3.51431,6.32963,3.61502,0.0019472,0.0019472,0.0019472
6,6.94961,1.86153,3.23892,2.46057,0.002,0.6,0.00213,0.00021,3.66853,6.86721,3.88321,0.001934,0.001934,0.001934
7,7.6799,1.92074,3.33456,2.44717,0.002,0.6,0.00213,0.00021,3.66853,6.86721,3.88321,0.0019208,0.0019208,0.0019208
8,8.38107,1.64798,3.15946,2.16279,0.002,0.6,0.00213,0.00021,3.66853,6.86721,3.88321,0.0019076,0.0019076,0.0019076
9,9.12186,1.87673,3.58012,2.46666,0.002,0.6,0.00217,0.00022,3.69753,7.10616,3.81673,0.0018944,0.0018944,0.0018944
10,9.76967,1.82358,3.26547,2.37277,0.002,0.6,0.00217,0.00022,3.69753,7.10616,3.81673,0.0018812,0.0018812,0.0018812
11,10.5015,1.91589,3.24422,2.54068,0.00267,0.8,0.43096,0.16431,1.97396,5.17567,6.36392,0.001868,0.001868,0.001868
12,11.5576,1.95826,2.74975,2.61924,0.00267,0.8,0.43096,0.16431,1.97396,5.17567,6.36392,0.0018548,0.0018548,0.0018548
13,12.5598,2.06903,3.21561,2.69442,0.30979,0.36469,0.495,0.17316,1.34033,4.58137,3.60589,0.0018416,0.0018416,0.0018416
14,13.5251,1.0976,2.30966,1.74677,0.30979,0.36469,0.495,0.17316,1.34033,4.58137,3.60589,0.0018284,0.0018284,0.0018284
15,14.6843,1.22282,2.47426,1.86769,0.30979,0.36469,0.495,0.17316,1.34033,4.58137,3.60589,0.0018152,0.0018152,0.0018152
16,15.8033,1.26234,2.33202,1.82399,0.002,0.6,0.42109,0.1688,2.5892,4.61773,3.28975,0.001802,0.001802,0.001802
17,16.8667,1.25571,2.27617,1.80353,0.002,0.6,0.42109,0.1688,2.5892,4.61773,3.28975,0.0017888,0.0017888,0.0017888
18,18.0071,1.22714,2.05502,1.73864,0.26063,0.2,0.23852,0.0673,3.19709,5.49279,3.69654,0.0017756,0.0017756,0.0017756
19,19.3154,1.0409,2.23337,1.70491,0.26063,0.2,0.23852,0.0673,3.19709,5.49279,3.69654,0.0017624,0.0017624,0.0017624
20,20.2356,1.00977,1.88258,1.63988,0,0,0,0,5.21249,14.6774,7.34252,0.0017492,0.0017492,0.0017492
21,21.2695,1.06735,2.00613,1.53807,0,0,0,0,5.21249,14.6774,7.34252,0.001736,0.001736,0.001736
22,22.1393,0.99847,1.98766,1.49497,0,0,0,0,5.21249,14.6774,7.34252,0.0017228,0.0017228,0.0017228
23,23.0383,0.8669,1.96477,1.48702,0,0,0,0,4.84027,11.2564,5.34991,0.0017096,0.0017096,0.0017096
24,23.9223,0.78433,1.61533,1.38668,0,0,0,0,4.84027,11.2564,5.34991,0.0016964,0.0016964,0.0016964
25,24.8246,0.83257,1.85712,1.50157,0,0,0,0,4.33089,11.6634,6.02549,0.0016832,0.0016832,0.0016832
26,25.6817,0.9226,1.62366,1.4329,0,0,0,0,4.33089,11.6634,6.02549,0.00167,0.00167,0.00167
27,26.6408,0.75672,1.5111,1.35388,0.00067,0.2,0.00025,3e-05,4.66794,7.88175,5.9401,0.0016568,0.0016568,0.0016568
28,27.504,0.91483,1.51172,1.49944,0.00067,0.2,0.00025,3e-05,4.66794,7.88175,5.9401,0.0016436,0.0016436,0.0016436
29,28.3292,0.91363,1.62082,1.54056,0.00067,0.2,0.00025,3e-05,4.66794,7.88175,5.9401,0.0016304,0.0016304,0.0016304
30,29.2433,0.67286,1.35464,1.29489,0.00133,0.4,0.00074,9e-05,4.24051,9.9579,5.01985,0.0016172,0.0016172,0.0016172
31,30.1158,0.69191,1.35444,1.3302,0.00133,0.4,0.00074,9e-05,4.24051,9.9579,5.01985,0.001604,0.001604,0.001604
32,31.0197,0.87082,1.63103,1.49948,0.09939,0.2,0.04547,0.00624,3.29384,5.94222,3.20234,0.0015908,0.0015908,0.0015908
33,32.1453,0.77647,1.48262,1.36757,0.09939,0.2,0.04547,0.00624,3.29384,5.94222,3.20234,0.0015776,0.0015776,0.0015776
34,33.2681,0.86625,1.63754,1.53185,0.28122,0.2,0.09435,0.04487,3.13064,5.16474,3.03865,0.0015644,0.0015644,0.0015644
35,34.3404,0.79926,1.548,1.35237,0.28122,0.2,0.09435,0.04487,3.13064,5.16474,3.03865,0.0015512,0.0015512,0.0015512
36,35.4407,0.65849,1.25724,1.23503,0.28122,0.2,0.09435,0.04487,3.13064,5.16474,3.03865,0.001538,0.001538,0.001538
37,36.5624,0.82474,1.51646,1.40813,0.17914,0.4,0.13731,0.03571,3.02915,5.42102,3.26715,0.0015248,0.0015248,0.0015248
38,37.6098,0.80462,1.41267,1.42085,0.17914,0.4,0.13731,0.03571,3.02915,5.42102,3.26715,0.0015116,0.0015116,0.0015116
39,38.7484,0.73672,1.31893,1.35832,0.55492,0.6,0.53722,0.24228,2.05021,4.45333,2.68478,0.0014984,0.0014984,0.0014984
40,39.8624,0.71723,1.3302,1.28013,0.55492,0.6,0.53722,0.24228,2.05021,4.45333,2.68478,0.0014852,0.0014852,0.0014852
41,41.0006,0.53715,1.15966,1.17519,0.53386,0.6948,0.54929,0.23543,1.60775,4.64771,1.9518,0.001472,0.001472,0.001472
42,42.074,0.665,1.15637,1.29357,0.53386,0.6948,0.54929,0.23543,1.60775,4.64771,1.9518,0.0014588,0.0014588,0.0014588
43,43.0942,0.63143,1.28746,1.24385,0.53386,0.6948,0.54929,0.23543,1.60775,4.64771,1.9518,0.0014456,0.0014456,0.0014456
44,44.1886,0.7107,1.28127,1.31769,0.62584,0.8,0.755,0.46829,1.26169,4.7004,1.80115,0.0014324,0.0014324,0.0014324
45,45.2707,0.68321,1.29771,1.33445,0.62584,0.8,0.755,0.46829,1.26169,4.7004,1.80115,0.0014192,0.0014192,0.0014192
46,46.3121,0.74477,1.27137,1.37844,0.97279,0.8,0.795,0.655,1.08746,3.08843,1.76507,0.001406,0.001406,0.001406
47,47.3932,0.55783,1.12222,1.18111,0.97279,0.8,0.795,0.655,1.08746,3.08843,1.76507,0.0013928,0.0013928,0.0013928
48,48.4993,0.50517,1.05713,1.15121,0.95938,0.8,0.795,0.6505,0.85973,2.87245,1.68295,0.0013796,0.0013796,0.0013796
49,49.6239,0.68202,1.29586,1.25329,0.95938,0.8,0.795,0.6505,0.85973,2.87245,1.68295,0.0013664,0.0013664,0.0013664
50,50.6817,0.60907,1.18461,1.28742,0.95938,0.8,0.795,0.6505,0.85973,2.87245,1.68295,0.0013532,0.0013532,0.0013532
51,51.7694,0.58598,1.1084,1.24116,0.97932,0.8,0.795,0.72,0.81801,2.38231,1.60254,0.00134,0.00134,0.00134
52,52.8568,0.55988,1.13177,1.24099,0.97932,0.8,0.795,0.72,0.81801,2.38231,1.60254,0.0013268,0.0013268,0.0013268
53,53.9091,0.58823,1.06562,1.19467,0.90864,0.6,0.70929,0.6201,0.7412,2.48341,1.51778,0.0013136,0.0013136,0.0013136
54,54.8777,0.58554,1.14658,1.25768,0.90864,0.6,0.70929,0.6201,0.7412,2.48341,1.51778,0.0013004,0.0013004,0.0013004
55,55.9474,0.55099,1.04076,1.16417,0.48923,0.8,0.62929,0.53893,0.79736,2.95321,1.5643,0.0012872,0.0012872,0.0012872
56,56.9686,0.56998,1.06436,1.18973,0.48923,0.8,0.62929,0.53893,0.79736,2.95321,1.5643,0.001274,0.001274,0.001274
57,58.0154,0.61086,1.11981,1.22263,0.48923,0.8,0.62929,0.53893,0.79736,2.95321,1.5643,0.0012608,0.0012608,0.0012608
58,59.0907,0.53913,1.0778,1.18278,0.55599,0.8,0.62929,0.58182,0.73198,2.88255,1.57277,0.0012476,0.0012476,0.0012476
59,60.1204,0.54115,1.08693,1.19561,0.55599,0.8,0.62929,0.58182,0.73198,2.88255,1.57277,0.0012344,0.0012344,0.0012344
60,61.1872,0.54082,0.97198,1.21201,0.98835,0.8,0.795,0.73525,0.71992,2.33103,1.55524,0.0012212,0.0012212,0.0012212
61,62.3405,0.55391,1.01445,1.16481,0.98835,0.8,0.795,0.73525,0.71992,2.33103,1.55524,0.001208,0.001208,0.001208
62,63.4916,0.54585,1.03332,1.18773,0.98482,0.8,0.795,0.73525,0.72514,2.19103,1.52547,0.0011948,0.0011948,0.0011948
63,64.6402,0.48327,0.92032,1.11476,0.98482,0.8,0.795,0.73525,0.72514,2.19103,1.52547,0.0011816,0.0011816,0.0011816
64,65.834,0.54225,0.92039,1.16879,0.98482,0.8,0.795,0.73525,0.72514,2.19103,1.52547,0.0011684,0.0011684,0.0011684
65,66.9928,0.4475,0.91398,1.10241,0.98935,0.8,0.795,0.73525,0.81979,2.27818,1.50919,0.0011552,0.0011552,0.0011552
66,68.123,0.51284,0.93098,1.15247,0.98935,0.8,0.795,0.73525,0.81979,2.27818,1.50919,0.001142,0.001142,0.001142
67,69.2908,0.59149,1.03756,1.21452,1,0.79194,0.795,0.59248,1.14834,2.71432,1.70388,0.0011288,0.0011288,0.0011288
68,70.4015,0.58608,1.19378,1.28496,1,0.79194,0.795,0.59248,1.14834,2.71432,1.70388,0.0011156,0.0011156,0.0011156
69,71.5055,0.52014,0.94332,1.14589,0.97464,0.8,0.795,0.6655,0.96552,2.54546,1.60062,0.0011024,0.0011024,0.0011024
70,74.9498,0.47891,0.86258,1.12706,0.97464,0.8,0.795,0.6655,0.96552,2.54546,1.60062,0.0010892,0.0010892,0.0010892
71,77.5309,0.57817,1.00189,1.21887,0.97464,0.8,0.795,0.6655,0.96552,2.54546,1.60062,0.001076,0.001076,0.001076
72,79.7144,0.49751,0.89043,1.11462,0.98685,0.8,0.84262,0.77976,0.76107,2.25066,1.49802,0.0010628,0.0010628,0.0010628
73,84.2447,0.48739,0.92523,1.16315,0.98685,0.8,0.84262,0.77976,0.76107,2.25066,1.49802,0.0010496,0.0010496,0.0010496
74,90.1773,0.46511,0.81852,1.09999,0.9847,0.8,0.80355,0.76098,0.72171,2.17349,1.51768,0.0010364,0.0010364,0.0010364
75,94.4601,0.53103,0.89285,1.15403,0.9847,0.8,0.80355,0.76098,0.72171,2.17349,1.51768,0.0010232,0.0010232,0.0010232
76,96.9173,0.52035,0.9415,1.10832,0.98668,0.8,0.795,0.73525,0.73643,2.09564,1.53772,0.00101,0.00101,0.00101
77,99.9354,0.67875,1.04281,1.29776,0.98668,0.8,0.795,0.73525,0.73643,2.09564,1.53772,0.0009968,0.0009968,0.0009968
78,102.454,0.50557,0.90303,1.10925,0.98668,0.8,0.795,0.73525,0.73643,2.09564,1.53772,0.0009836,0.0009836,0.0009836
79,105.662,0.43551,0.88017,1.15892,0.99017,0.8,0.79605,0.71596,0.70891,1.82814,1.49629,0.0009704,0.0009704,0.0009704
80,108.611,0.70953,1.08928,1.32401,0.99017,0.8,0.79605,0.71596,0.70891,1.82814,1.49629,0.0009572,0.0009572,0.0009572
81,110.202,0.54839,0.92432,1.1777,0.98976,0.8,0.79681,0.67607,0.92705,1.89907,1.6001,0.000944,0.000944,0.000944
82,112.437,0.51527,0.86751,1.12391,0.98976,0.8,0.79681,0.67607,0.92705,1.89907,1.6001,0.0009308,0.0009308,0.0009308
83,114.773,0.53805,1.01394,1.27283,0.97349,0.8,0.835,0.51546,1.65744,2.55172,2.28367,0.0009176,0.0009176,0.0009176
84,117.14,0.45394,0.79444,1.14166,0.97349,0.8,0.835,0.51546,1.65744,2.55172,2.28367,0.0009044,0.0009044,0.0009044
85,119.623,0.51191,0.86833,1.17616,0.97349,0.8,0.835,0.51546,1.65744,2.55172,2.28367,0.0008912,0.0008912,0.0008912
86,122.041,0.56263,0.82795,1.19001,0.98617,0.8,0.88591,0.51141,1.72225,2.35946,2.77886,0.000878,0.000878,0.000878
87,124.339,0.60158,0.99166,1.22705,0.98617,0.8,0.88591,0.51141,1.72225,2.35946,2.77886,0.0008648,0.0008648,0.0008648
88,126.6,0.51657,0.86038,1.17395,0.98801,0.8,0.90611,0.58317,1.36188,1.76044,2.27179,0.0008516,0.0008516,0.0008516
89,128.816,0.50265,0.86976,1.19971,0.98801,0.8,0.90611,0.58317,1.36188,1.76044,2.27179,0.0008384,0.0008384,0.0008384
90,131.041,0.48715,0.87157,1.15334,0.98867,0.8,0.87833,0.76382,0.84107,1.65055,1.61588,0.0008252,0.0008252,0.0008252
91,133.26,0.57668,0.91707,1.25156,0.98867,0.8,0.87833,0.76382,0.84107,1.65055,1.61588,0.000812,0.000812,0.000812
92,136.047,0.51418,0.80481,1.09963,0.98867,0.8,0.87833,0.76382,0.84107,1.65055,1.61588,0.0007988,0.0007988,0.0007988
93,139.187,0.44311,0.78381,1.1024,0.98368,0.8,0.8575,0.7825,0.83161,1.87462,1.58991,0.0007856,0.0007856,0.0007856
94,142.674,0.46352,0.88639,1.14062,0.98368,0.8,0.8575,0.7825,0.83161,1.87462,1.58991,0.0007724,0.0007724,0.0007724
95,143.918,0.40111,0.7825,1.11193,0.98423,0.8,0.87833,0.75167,0.84654,1.88266,1.65992,0.0007592,0.0007592,0.0007592
96,145.099,0.41648,0.78362,1.1174,0.98423,0.8,0.87833,0.75167,0.84654,1.88266,1.65992,0.000746,0.000746,0.000746
97,146.202,0.48388,0.87465,1.19996,0.9863,0.8,0.895,0.765,0.78635,1.72421,1.64639,0.0007328,0.0007328,0.0007328
98,147.254,0.45089,0.81665,1.12068,0.9863,0.8,0.895,0.765,0.78635,1.72421,1.64639,0.0007196,0.0007196,0.0007196
99,148.455,0.44793,0.81058,1.11721,0.9863,0.8,0.895,0.765,0.78635,1.72421,1.64639,0.0007064,0.0007064,0.0007064
100,149.646,0.45,0.8198,1.11151,0.98443,0.8,0.93786,0.75929,0.80772,1.53678,1.67316,0.0006932,0.0006932,0.0006932
101,150.802,0.40274,0.7566,1.11173,0.98443,0.8,0.93786,0.75929,0.80772,1.53678,1.67316,0.00068,0.00068,0.00068
102,151.924,0.38488,0.72503,1.06069,1,0.98631,0.995,0.79269,0.81557,1.55078,1.66372,0.0006668,0.0006668,0.0006668
103,153.099,0.37159,0.72757,1.02169,1,0.98631,0.995,0.79269,0.81557,1.55078,1.66372,0.0006536,0.0006536,0.0006536
104,154.347,0.38641,0.71414,1.13504,0.9876,0.8,0.96167,0.77333,0.81714,1.53841,1.68574,0.0006404,0.0006404,0.0006404
105,155.444,0.52038,0.89275,1.20503,0.9876,0.8,0.96167,0.77333,0.81714,1.53841,1.68574,0.0006272,0.0006272,0.0006272
106,156.592,0.43397,0.72355,1.09489,0.9876,0.8,0.96167,0.77333,0.81714,1.53841,1.68574,0.000614,0.000614,0.000614
107,157.767,0.50327,0.81008,1.20696,0.98919,0.8,0.93786,0.76662,0.78516,1.53537,1.67084,0.0006008,0.0006008,0.0006008
108,158.898,0.40675,0.69435,1.08582,0.98919,0.8,0.93786,0.76662,0.78516,1.53537,1.67084,0.0005876,0.0005876,0.0005876
109,159.904,0.37582,0.70375,1.04303,0.99014,0.8,0.96167,0.78167,0.76389,1.51095,1.65406,0.0005744,0.0005744,0.0005744
110,160.892,0.42968,0.71537,1.16029,0.99014,0.8,0.96167,0.78167,0.76389,1.51095,1.65406,0.0005612,0.0005612,0.0005612
111,162.058,0.41709,0.6799,1.0663,1,0.98637,0.995,0.805,0.72682,1.46452,1.60737,0.000548,0.000548,0.000548
112,163.215,0.37487,0.70298,1.0664,1,0.98637,0.995,0.805,0.72682,1.46452,1.60737,0.0005348,0.0005348,0.0005348
113,164.412,0.47103,0.80834,1.12291,1,0.98637,0.995,0.805,0.72682,1.46452,1.60737,0.0005216,0.0005216,0.0005216
114,165.597,0.3951,0.72109,1.06312,1,0.98654,0.995,0.855,0.64956,1.46401,1.52536,0.0005084,0.0005084,0.0005084
115,166.782,0.47243,0.69109,1.11327,1,0.98654,0.995,0.855,0.64956,1.46401,1.52536,0.0004952,0.0004952,0.0004952
116,167.987,0.42346,0.69425,1.1135,1,0.98798,0.995,0.815,0.68022,1.49729,1.52728,0.000482,0.000482,0.000482
117,169.17,0.34362,0.71534,1.07083,1,0.98798,0.995,0.815,0.68022,1.49729,1.52728,0.0004688,0.0004688,0.0004688
118,170.328,0.41643,0.71591,1.06682,1,0.98901,0.995,0.795,0.71278,1.47021,1.54844,0.0004556,0.0004556,0.0004556
119,171.525,0.35582,0.6439,1.00425,1,0.98901,0.995,0.795,0.71278,1.47021,1.54844,0.0004424,0.0004424,0.0004424
120,172.634,0.45081,0.71854,1.11663,1,0.98901,0.995,0.795,0.71278,1.47021,1.54844,0.0004292,0.0004292,0.0004292
